smiles,sol_category
N#Cc1sc(-c2cccc(Cl)c2)cc1N,0
COc1ccccc1NC(=O)CNC(=O)c1ccccc1OC,0
COc1cc2c(cc1OC)CN(C(=O)c1cc(=O)c3ccccc3o1)CC2,0
CCn1c(=O)c2ccnn2c2ccc(C(=O)NCc3ccc4c(c3)OCO4)cc21,0
COCCN1C(=O)CC[C@@H](C(=O)N2CCNC(=O)C2)[C@H]1c1ccc(C)cc1,0
Cc1ccc(S(=O)(=O)NCC[C@H]2CCNC2)c(Br)c1,0
Cl.Cl.Nc1nccc(-c2c(-c3ccc(F)cc3)ncn2C2CCCCC2)n1,0
CC(C)C[C@H]1C(=O)N2C[C@@H](N(C)C)C[C@H]2CN1C(=O)CCc1nc(-c2ccccc2)no1,0
COc1ccc2c(c1)OC(C)(C)CN(C(=O)NC[C@@H]1CNC(=O)C1)C2,0
N#Cc1ccnc(Nc2cc(C3CCN(C4COC4)CC3)cc(N3CCC(F)(F)C3)n2)c1,0
Cc1ccc(Cn2c(=O)c(N3CCC(NC(=O)NC(C)C)CC3)nc3cccnc32)cc1,0
CCN(CC)[C@H]1CCCN(c2cccc(F)c2)C1=O,0
CNc1ccc([C@@](O)(c2ncnn2C)C(F)(F)F)cc1,0
Cn1cc(C2=NN=C(Nc3ccc(Cl)cc3)SC2)cn1,0
CC[C@@H](CO)NC(=O)c1csc(COc2ccc(F)cc2)n1,0
CCCc1nnc(SCCNS(=O)(=O)c2ccccc2)[nH]1,0
CN(CCN(C)c1ccccc1)C(=O)c1cnc(-c2ccco2)s1,0
CC(C)(C#N)c1ccccc1COc1coc(CO)cc1=O,0
Cc1ccc(NC(=O)CN2CC(C)OC(C)C2)cc1C,0
Cc1ccc(N2CC(C(=O)Nc3ccncc3)CC2=O)cc1,0
CCS(=O)(=O)N1CCC(=NO)CC1,0
Cc1ccc(CNC(=O)c2ccc(OCC(C)C)cc2)n1C,0
C[C@@H](C1CC1)n1nccc1NC(=O)N1CC=C(c2cccs2)CC1,0
O=C(Cn1cnc2sccc2c1=O)N1CCOC[C@H]1c1nc[nH]n1,0
CC(C)(C)CCN1CCN(S(=O)(=O)C[C@H]2CCCS(=O)(=O)C2)CC1,0
CC[C@H]1CN(C(=O)CN2C(=O)COc3ccc(Cl)cc32)CCO1,0
CCc1cc(N2CCC(NC(=O)N3CCN(c4cccnn4)CC3)CC2)ncn1,0
CCN(CC(=O)N1CCN(c2ccccc2F)CC1)[C@H]1CCOC(C)(C)C1,0
CN(C)c1ncccc1C(=O)Nc1cccc2cccnc12,0
O=C(Nc1c(F)cc(F)cc1F)N1CC[C@H](CN2CCOCC2)C1,0
O=C(CCn1nc(-c2ccc(Cl)cc2)c2ccccc2c1=O)N1CCOCC1,0
CCOc1ccc(S(=O)(=O)Nc2ccc([C@@]3(C)NC(=O)NC3=O)cc2)cc1OCC,0
