Id,smiles,sol_category_class_0,sol_category_class_1,sol_category_class_2
EOS10000,Cc1n[nH]nc1C(=O)N(C)CC1CCN(Cc2ccccc2)C1,0.02803265452384949,0.036911224201321605,0.9350561022758483
EOS100001,CC[C@]1(O)C[C@@H]2CN(CCc3c([nH]c4ccccc34)[C@@](C(=O)OC)(c3cc4c(cc3OC)N(C=O)[C@H]3[C@@](O)(C(=O)OC)[C@H](OC(C)=O)[C@]5(CC)C=CCN6CC[C@]43[C@@H]65)C2)C1.O=S(=O)(O)O,0.03235979713499546,0.04121056161820889,0.9264296650886535
EOS100004,Cc1ccc(-c2ccc(F)cc2COc2ccc(CCC(=O)O)cc2)cc1,0.03540749736130237,0.04707255810499191,0.9175199270248413
EOS100005,O=C1[C@H](CC[C@H](O)c2ccc(F)cc2)[C@@H](c2ccc(O)cc2)N1c1ccc(F)cc1,0.03541583232581615,0.04666211009025574,0.9179220557212829
EOS100008,Cl.c1ccc2c(CC3=NCCN3)cccc2c1,0.03395527340471745,0.04544287323951721,0.9206018686294556
EOS100011,CCN(CC)CCCC(C)Nc1c2ccc(Cl)cc2nc2ccc(OC)cc12.Cl.Cl,0.03832802288234234,0.0491035670042038,0.9125684022903442
EOS100017,COc1cc(NS(C)(=O)=O)ccc1Nc1c2ccccc2nc2ccccc12,0.03712128326296806,0.049726763367652894,0.9131519436836243
EOS100019,CC(=O)Oc1ccc(C(c2ccc(OC(C)=O)cc2)c2ccccn2)cc1,0.03337418809533119,0.04506203904747963,0.9215637803077698
EOS10003,Cn1nc(-c2cccs2)cc1C(=O)NC1CCCN(c2cnccn2)C1,0.03071402832865715,0.041001436114311215,0.9282845377922058
EOS100032,O=S(=O)(Nc1ccc(C(O)(C(F)(F)F)C(F)(F)F)cc1)c1cccs1,0.04134053438901901,0.05186198502779007,0.9067975044250488
EOS100033,CC/C(=C(\c1ccc(O)cc1)c1ccc(OCCN(C)C)cc1)c1ccccc1,0.0350533738732338,0.0463040754199028,0.918642544746399
EOS100036,COc1cc(C)[nH]c(=O)c1CNC(=O)c1c(C)n([C@H](C)C2CCOCC2)c2ccccc12,0.032371215894818305,0.04249416887760162,0.9251345992088318
EOS100037,NC1(Cc2ccc(Cl)cc2)CCN(c2ncnc3[nH]ccc23)CC1,0.030181000381708144,0.03988838568329811,0.9299306154251099
EOS10004,CN(CC(=O)Nc1ccc(Cl)cn1)CC1CC(=O)N(C2CCCC2)C1,0.031647789478302005,0.039950817823410034,0.9284013986587525
EOS100040,Cl.Cn1cc(-c2ccncc2)c(-c2ccc(OCc3ccc4ccccc4n3)cc2)n1,0.03448787927627563,0.04732639044523239,0.9181857466697693
EOS100042,O=[V]([O-])([O-])[O-].[Na+].[Na+].[Na+],0.1163954719901085,0.1284133568406105,0.7551911830902099
EOS100044,O=C(NO)C1(CS(=O)(=O)c2ccc(Oc3ccc(Cl)cc3)cc2)CCOCC1,0.03361567594110966,0.043583760410547255,0.9228005647659302
EOS100047,CCC(F)(F)c1cc(N2CCC(S(C)(=O)=O)CC2)nc2sc(C(N)=O)c(N)c12,0.03769768215715885,0.047270269691944124,0.9150320291519165
EOS100048,CC(C)C[C@H](NC(=O)[C@H]1O[C@@H]1C(=O)O)C(=O)NCCCCNC(=N)N,0.03819677792489529,0.046562045067548755,0.9152411699295044
EOS100051,COc1cc2nc(-c3cc(F)ccc3O)nc(N[C@@H]3CNC[C@H]3C(C)(C)O)c2cc1OC.Cl,0.03710223734378815,0.04813938289880752,0.9147583723068238
